#,Kanji,Onyomi,Kunyomi,Kanji Meaning
1,日,"nichi, jitsuニチ, ジツ","hi, -bi, -kaひ, -び, -か","day, sun, Japan, counter for days"
2,一,ichiイチ,hito(tsu)ひと(つ),one
3,国,kokuコク,kuniくに,country
4,会,kaiカイ,a(u)あ(う),meeting; meet
5,人,"jin, ninジン、 ニン",hitoひと,person
6,年,nenネン,toshiとし,"year, counter for years"
7,大,"dai, taiダイ、 タイ",oo(kii)おお(きい),"large, big"
8,十,juuジュウ,"tou, toとお、 と","ten, 10"
9,二,"ni, jiニ、 ジ","futa(tsu), futatabiふた(つ)、 ふたたび","two, 2"
10,本,honホン,motoもと,"book, present, true, counter for long cylindrical things"
11,中,chuuチュウ,"naka, uchi, ata(ru)なか、 うち、 あた(る)","in, inside, middle, mean, center"
12,長,chouチョウ,"naga(i), osaなが(い)、 おさ","long, leader, superior, senior"
13,出,"shutsu, suiシュツ、 スイ","de(ru), da(su), i(deru)で(る)、 だ(す)、 い(でる)","exit, leave, go out"
14,三,sanサン,mi(tsu)み(つ),"three, 3"
15,同,douドウ,onajiおな(じ),"same, agree, equal"
16,時,jiジ,"toki, dokiとき、 -どき","time, hour"
17,政,seiセイ,matsurigotoまつりごと,"politics, government"
18,事,jiジ,kotoこと,"matter, thing, fact, business, reason, possibly"
19,自,"ji, shiジ、 シ",mizuka(ra)みずか(ら),oneself
20,行,"kou, gyou, anコウ、 ギョウ、 アン","i(ku), yu(ku), okona(u)い(く)、 ゆ(く)、 おこな(う)","going, journey, carry out, line, row"
21,社,shaシャ,yashiroやしろ,"company, firm, office, association, shrine"
22,見,kenケン,"mi(ru), mi(seru)み(る)、 み(せる)","see, hopes, chances, idea, opinion, look at, visible"
23,月,"getsu, gatsuゲツ、 ガツ",tsukiつき,"month, moon"
24,分,"bun, fun, buブン、 フン、 ブ",wa(keru)わ(ける),"part, minute of time, understand"
25,議,giギ,,"deliberation, consultation, debate"
26,後,"go, kouゴ、 コウ","nochi, ushi(ro), atoのち、 うし(ろ)、 あと","behind, back, later"
27,前,zenゼン,maeまえ,"in front, before"
28,民,minミン,tamiたみ,"people, nation, subjects"
29,生,"sei, shouセイ、 ショウ","i(kiru), u(mu), o(u), ha(eru), namaい(きる)、 う(む)、 お(う)、 は(える)、 なま","life, genuine, birth"
